"collection","source_id","catalog_artist","catalog_title","format_group","bandcamp_status","bandcamp_url","bandcamp_album_id","bandcamp_embed_url","bandcamp_page_title","tidal_status","tidal_url","tidal_page_title","tidal_discovery_url","tidal_lookup_url","identity_evidence_url","checked_at","notes"
"distro","adolf-plays-the-jazz-form-follows-function-cd","Adolf plays the Jazz","form follows function","CDs","verified","https://adolfplaysthejazz1.bandcamp.com/album/form-follows-function","4153954963","https://bandcamp.com/EmbeddedPlayer/album=4153954963/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","form follows function | Adolf Plays The Jazz","verified","https://tidal.com/album/379264570","Form Follows Function by Adolf Plays The Jazz on TIDAL","https://album.link/i/1761092886","https://itunes.apple.com/search?term=Adolf+Plays+The+Jazz&entity=album&limit=200&country=GR","https://adolfplaysthejazz1.bandcamp.com/album/form-follows-function","2026-09-22",""
"distro","aflmsmp-i-went-to-the-mountain-vinyl","AFLMSMP","I went to the mountain","Vinyl 12-inch","verified","https://aflmsmp.bandcamp.com/album/i-went-to-the-mountain-2","2218904006","https://bandcamp.com/EmbeddedPlayer/album=2218904006/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","I Went To The Mountain | Am Fost La Munte Și Mi-a Plăcut","verified","https://tidal.com/album/418666384","I Went To The Mountain by Am Fost La Munte Și Mi-a Plăcut on TIDAL","https://album.link/i/1797824503","https://itunes.apple.com/search?term=Am+Fost+La+Munte+%C8%98i+Mi-a+Pl%C4%83cut&entity=album&limit=200&country=GR","https://aflmsmp.bandcamp.com/album/i-went-to-the-mountain-2","2026-09-22",""
"distro","aftermaths","Indoctrinate","Aftermaths","Vinyl 12-inch","verified","https://crustatomberecords.bandcamp.com/album/indoctrinate-aftermaths","1218693733","https://bandcamp.com/EmbeddedPlayer/album=1218693733/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","INDOCTRINATE ""aftermaths"" | Indoctrinate | CRUSTATOMBE RECORDS","unverified","","","","https://itunes.apple.com/search?term=Indoctrinate&entity=album&limit=200&country=GR","https://crustatomberecords.bandcamp.com/album/indoctrinate-aftermaths","2026-09-22",""
"distro","against-his-story-against-leviathan","Hazarder","Against His-Story, Against Leviathan!","Vinyl 12-inch","verified","https://insanesocietyrecords.bandcamp.com/album/hazarder-against-his-story-against-leviathan-lp","3608658646","https://bandcamp.com/EmbeddedPlayer/album=3608658646/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","HAZARDER - Against His​-​​Story, Against Leviathan​! - LP | Insane Society records","unverified","","","","https://itunes.apple.com/search?term=Insane+Society+records&entity=album&limit=200&country=GR","https://insanesocietyrecords.bandcamp.com/album/hazarder-against-his-story-against-leviathan-lp","2026-09-22","Official label Bandcamp hosts the Hazarder recording; provider page title includes the artist and LP suffix."
"distro","agia-monaxia-analekta-cd","Agia Monaxia","Analekta","CDs","verified","https://agiamonaxia.bandcamp.com/album/analekta","2963629684","https://bandcamp.com/EmbeddedPlayer/album=2963629684/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Analekta | Agia Monaxia","verified","https://tidal.com/album/130226654","Analekta by Agia Monaxia on TIDAL","https://album.link/i/1497737919","https://itunes.apple.com/search?term=Agia+Monaxia&entity=album&limit=200&country=GR","https://agiamonaxia.bandcamp.com/album/analekta","2026-09-22",""
"distro","allochiria-commotion-vinyl","Allochiria","Commotion","Vinyl 12-inch","verified","https://music.allochiria.com/album/commotion","1930976721","https://bandcamp.com/EmbeddedPlayer/album=1930976721/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Commotion | Allochiria","verified","https://tidal.com/album/281969353","Commotion by Allochiria on TIDAL","https://album.link/i/1677306206","https://itunes.apple.com/search?term=Allochiria&entity=album&limit=200&country=GR","https://music.allochiria.com/album/commotion","2026-09-22",""
"distro","allochiria-omonoia-vinyl","Allochiria","Omonoia","Vinyl 12-inch","verified","https://music.allochiria.com/album/omonoia","614922088","https://bandcamp.com/EmbeddedPlayer/album=614922088/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Omonoia | Allochiria","unverified","","","","https://itunes.apple.com/search?term=Allochiria&entity=album&limit=200&country=GR","https://music.allochiria.com/album/omonoia","2026-09-22",""
"distro","allochiria-throes-vinyl","Allochiria","Throes","Vinyl 12-inch","verified","https://music.allochiria.com/album/throes","1723118053","https://bandcamp.com/EmbeddedPlayer/album=1723118053/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Throes | Allochiria","verified","https://tidal.com/album/70462651","Throes by Allochiria on TIDAL","https://album.link/i/1206361850","https://itunes.apple.com/search?term=Allochiria&entity=album&limit=200&country=GR","https://music.allochiria.com/album/throes","2026-09-22",""
"distro","anima-triste-alone-cd","Anima Triste","Alone","CDs","verified","https://animatriste.bandcamp.com/album/alone-2","751620391","https://bandcamp.com/EmbeddedPlayer/album=751620391/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Alone | Anima Triste","verified","https://tidal.com/album/298875953","Alone by Anima Triste on TIDAL","https://album.link/i/1691630923","https://itunes.apple.com/search?term=Anima+Triste&entity=album&limit=200&country=GR","https://animatriste.bandcamp.com/album/alone-2","2026-09-22",""
"distro","anima-triste-anima-triste-cd","Anima Triste","Anima Triste","CDs","verified","https://animatriste.bandcamp.com/album/anima-triste","537853004","https://bandcamp.com/EmbeddedPlayer/album=537853004/size=large/bgcol=0d0d0d/linkcol=f5f5f5/artwork=big/transparent=true/","Anima Triste | Anima Triste","unverified","","","","https://itunes.apple.com/search?term=Anima+Triste&entity=album&limit=200&country=GR","https://animatriste.bandcamp.com/album/anima-triste","2026-09-22",""
