content_id	group	copy_source_type	copy_source_url	copy_status	media_evidence	cd_photo_status	notes
adolf-plays-the-jazz-form-follows-function-cd	CDs	bandcamp	https://adolfplaysthejazz1.bandcamp.com/album/form-follows-function	rewritten	[{"filename":"adolf-plays-the-jazz-form-follows-function-cd.jpg","source_url":"https://adolfplaysthejazz1.bandcamp.com/album/form-follows-function","rights_status":"cc-by-nd-4.0"}]	unresolved	Official Bandcamp is digital-only and its additional image is not product photography. No exact official Instagram or Dunk Records catalog result was found; Facebook was skipped per operator direction. A user-supplied verified photo is required.
agia-monaxia-analekta-cd	CDs	bandcamp	https://agiamonaxia.bandcamp.com/album/analekta	rewritten	[{"filename":"agia-monaxia-analekta-cd-front.jpg","source_url":"https://agiamonaxia.bandcamp.com/album/analekta","rights_status":"user-blanket-authorization:2026-09-06"}]	verified	Artist Agia Monaxia, title Analekta, CD format, limited 100-copy edition, and handmade recycled-paper and sandpaper packaging match the official product listing and photo. Professional revision 2026-09-07: Retouch blocked: 1200x861 raw source; GPT marble extension and retry rejected at full size for a horizontal seam. Existing asset unchanged. Source baseline 0e0b665d; ImageMagick sRGB quality 88 export, metadata stripped, no added sharpening. See photo-qa.md for visual outcomes and display-resolution limits.
anima-triste-alone-cd	CDs	bandcamp	https://animatriste.bandcamp.com/album/alone-2	rewritten	[{"filename":"anima-triste-alone-cd-front.webp","source_url":"https://www.instagram.com/animatristeband/p/C4OWPqcrQRd/","rights_status":"user-blanket-authorization:2026-09-06"}]	unresolved	Official Instagram group photo C4OWPqcrQRd is 860x1074; each title occupies only a few hundred pixels and the self-titled product is already cut off. Artist/title identification does not establish the exact stocked CD edition or packaging. Official Bandcamp indexed descriptions say Digipack / CD-r (self-titled) and Digifile with page booklet and black bottomed CDr (Alone), conflicting with the previous jewel-case claim; current live pages expose digital offers. Packaging claim withdrawn pending stock/original-photo confirmation. Official Bandcamp and Instagram research found no acceptable replacement; Facebook skipped. Existing image unchanged; visual acceptance blocked. Unsent photo request in photo-qa.md.
anima-triste-anima-triste-cd	CDs	bandcamp	https://animatriste.bandcamp.com/album/anima-triste	rewritten	[{"filename":"anima-triste-anima-triste-cd-front.webp","source_url":"https://www.instagram.com/animatristeband/p/C4OWPqcrQRd/","rights_status":"user-blanket-authorization:2026-09-06"}]	unresolved	Official Instagram group photo C4OWPqcrQRd is 860x1074; each title occupies only a few hundred pixels and the self-titled product is already cut off. Artist/title identification does not establish the exact stocked CD edition or packaging. Official Bandcamp indexed descriptions say Digipack / CD-r (self-titled) and Digifile with page booklet and black bottomed CDr (Alone), conflicting with the previous jewel-case claim; current live pages expose digital offers. Packaging claim withdrawn pending stock/original-photo confirmation. Official Bandcamp and Instagram research found no acceptable replacement; Facebook skipped. Existing image unchanged; visual acceptance blocked. Unsent photo request in photo-qa.md.
anima-triste-humanity-cd	CDs	bandcamp	https://animatriste.bandcamp.com/album/humanity	rewritten	[{"filename":"anima-triste-humanity-cd-front.webp","source_url":"https://www.instagram.com/animatristeband/p/C4OWPqcrQRd/","rights_status":"user-blanket-authorization:2026-09-06"}]	unresolved	Official Instagram group photo C4OWPqcrQRd is 860x1074; each title occupies only a few hundred pixels and the self-titled product is already cut off. Artist/title identification does not establish the exact stocked CD edition or packaging. Official Bandcamp indexed descriptions say Digipack / CD-r (self-titled) and Digifile with page booklet and black bottomed CDr (Alone), conflicting with the previous jewel-case claim; current live pages expose digital offers. Packaging claim withdrawn pending stock/original-photo confirmation. Official Bandcamp and Instagram research found no acceptable replacement; Facebook skipped. Existing image unchanged; visual acceptance blocked. Unsent photo request in photo-qa.md.
atopia-atopia-cd	CDs	official_site	https://atopia2012.blogspot.com/2012/12/2012-atopia-self-titled-2012-01.html	rewritten	[{"filename":"atopia-atopia-cd.jpg","source_url":"https://atopia2012.blogspot.com/2012/12/2012-atopia-self-titled-2012-01.html","rights_status":"cc-by-nd-4.0"}]	unresolved	Official artist site confirms the self-titled 2012 album and 11-track sequence but supplies artwork only. No exact official Instagram or Dunk Records catalog result was found. A user-supplied verified photo of the stocked jewel-case CD is required.
blame-the-trees-synapses-cd	CDs	bandcamp	https://blamethetrees.bandcamp.com/album/synapses	rewritten	[{"filename":"blame-the-trees-synapses-cd.jpg","source_url":"https://blamethetrees.bandcamp.com/album/synapses","rights_status":"cc-by-nd-4.0"}]	unresolved	Official Bandcamp is digital-only and its additional image is a band logo. The former official site is unavailable; no exact official Instagram or Dunk Records catalog result was found. Facebook was skipped per operator direction. A user-supplied verified photo is required.
celuta-red-amoeba-cd	CDs	bandcamp	https://celutared.bandcamp.com/album/amoeba	rewritten	[{"filename":"celuta-red-amoeba-cd.jpg","source_url":"https://celutared.bandcamp.com/album/amoeba","rights_status":"cc-by-nd-4.0"}]	unresolved	Official Bandcamp lists the CD, but its package image is flat artwork. The complete official Instagram feed contains no physical Amoeba CD photo, and Dunk Records has no exact catalog result. Facebook was skipped per operator direction. A user-supplied verified photo is required.
celuta-red-idle-frenzy-cd	CDs	bandcamp	https://celutared.bandcamp.com/album/idle-frenzy	rewritten	[{"filename":"celuta-red-idle-frenzy-cd.jpg","source_url":"https://celutared.bandcamp.com/album/idle-frenzy","rights_status":"cc-by-nd-4.0"}]	unresolved	Official Bandcamp lists the CD, but its package image is flat artwork. The complete official Instagram feed contains no physical Idle Frenzy CD photo, and Dunk Records has no exact catalog result. Facebook was skipped per operator direction. A user-supplied verified photo is required.
dead-elephant-heavy-huge-and-rotten-cd	CDs	bandcamp	https://deadelephant.bandcamp.com/album/heavy-huge-and-rotten	rewritten	[{"filename":"dead-elephant-heavy-huge-and-rotten-cd.jpg","source_url":"https://deadelephant.bandcamp.com/album/heavy-huge-and-rotten","rights_status":"cc-by-nd-4.0"}]	unresolved	Official Bandcamp is digital-only and its additional image is the artist logo. No exact official non-Facebook source or Dunk Records catalog result was found; Facebook was skipped per operator direction. A user-supplied verified photo is required.
