artist	title	format
Stefan Clor	Baltica	CD
Nausea Bomb	Slap punkabilly	CD
Granna's House	Kuro	CD
Hey Stealthy	Hey Stealthy	CD
Dirty ol' dogs	Dirty ol' dogs	CD
Dead Elephant	Heavy Huge and Rotten	CD
Dead Flag Blues	Traumatique	CD
Sadhus	The big fish	CD
Anima Triste	Alone	CD
Anima Triste	Anima Triste	CD
Anima Triste	Humanity	CD
Full Moon Bonzai	Reshaping the symbols	CD
Salto Mortale	Ατελές το ον	CD
Ατοπια 	Ατοπια 	CD
Sun of Nothing	The guilt of feeling alive	CD
Frakhtal 	plima	CD
Millions of Dead tourists	Υγειής	CD
One leg Mary 	I, a Seawolf, a Madman	CD
One leg Mary 	On the quiet	CD
Band in the pit	2016	Tape
Broken Fingers	Ego	Tape
The Vagina lips	Random Tapes	Tape
Magmarus	Cassette sessions	Tape
We lost the Sea	Departure Songs	Vinyl 12''
We lost the Sea	A single flower	Vinyl 12''
We lost the Sea	Triumph & Disaster	Vinyl 12''
Bipolar Architecture	Depressionland	Vinyl 12''
Onrust	Van Woede Tot Wanhoop	Vinyl 12''
Devided	Light will shine	Vinyl 12''
AFLMSMP	I went to the mountain	Vinyl 12''
Turpentine Valley	Veuel	Vinyl 12''
Aufhebung	Luchtbegrafenis	Vinyl 12''
Kokomo	Whip	Vinyl 12''
Huracan	2025 EP	Vinyl 12''
Malämmar	Vendetta	Vinyl 12''
Malämmar	Mazza	Vinyl 12''
Maserati	Live at Dunk! Fest 2024	Vinyl 12''
Ciśnienie	Angry Noises	Vinyl 12''
Russian Circles	Live at Dunk! Fest 2016	Vinyl 12''
Pelican	Live at Dunk! Fest 2016	Vinyl 12''
Allochiria	Throes	Vinyl 12''
Allochiria	Omonoia	Vinyl 12''
Allochiria	Commotion	Vinyl 12''
