row_number,artist,title,format,normalized_artist,normalized_title,normalized_format,status,confidence,source,source_page_url,image_url,local_path,mime_type,width,height,sha256,matched_artist,matched_title,matched_format,mbid,discogs_release_id,notes
001,Chronoboros,Caregivers,Vinyl 12in,Chronoboros,Caregivers,Vinyl 12in,downloaded,high,Bandcamp,https://chronoboros.bandcamp.com/album/caregivers,https://f4.bcbits.com/img/a2895599119_0.png,artwork_inventory_missing_20260704\images\001 - Chronoboros - Caregivers [Vinyl 12in] - cover - 2.jpg,image/jpeg,1920,1899,1c0ef85ad5720b3d51f7e1996491cfbbbfc9d521de718425f1e126451fe0cabc,Chronoboros,Caregivers,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
002,Gun Fever,No easy Way,Vinyl 12in,Gun Fever,No easy Way,Vinyl 12in,downloaded,high,Bandcamp,https://gunfeverath.bandcamp.com/album/no-easy-way,https://f4.bcbits.com/img/a1524863370_0.png,artwork_inventory_missing_20260704\images\002 - Gun Fever - No easy Way [Vinyl 12in] - cover - 2.jpg,image/jpeg,2000,2000,856a6a3286f8b6eaa4543c35682110a3ea85e3fce02e19a696fa70a153e08548,Gun Fever,No Easy Way,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
003,Living Under Drones,Knot On Knot,Vinyl 12in,Living Under Drones,Knot On Knot,Vinyl 12in,downloaded,high,Bandcamp,https://livingunderdrones.bandcamp.com/album/knot-on-knot,https://f4.bcbits.com/img/a1615791668_0.png,artwork_inventory_missing_20260704\images\003 - Living Under Drones - Knot On Knot [Vinyl 12in] - cover - 2.png,image/png,2000,2000,57cc4c2030770085489bb8a13210d047ddd714ea5fa3bb1e64261611b80d2140,Living Under Drones,Knot On Knot,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
004,Mammock,Itch,Vinyl 12in,Mammock,Itch,Vinyl 12in,downloaded,high,Bandcamp,https://mammock.bandcamp.com/album/itch,https://f4.bcbits.com/img/a4248274080_0.png,artwork_inventory_missing_20260704\images\004 - Mammock - Itch [Vinyl 12in] - cover - 2.jpg,image/jpeg,1653,1480,438ab61923ef9d493411f8dc5149dd512e743c6d17d5b9340243a8e3c654d665,Mammock,Itch,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
005,Coyotes Arrow,Medicine,Vinyl 12in,Coyotes Arrow,Medicine,Vinyl 12in,downloaded,high,Bandcamp,https://coyotesarrow.bandcamp.com/album/medicine-2,https://f4.bcbits.com/img/a734831505_0.png,artwork_inventory_missing_20260704\images\005 - Coyotes Arrow - Medicine [Vinyl 12in] - cover - 2.jpg,image/jpeg,1400,1400,25c0b095caba065517c88b3502cd71ac82808e0f2c2f9dd1ed830178e5f43e83,coyote's arrow,''Medicine'',,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
006,Three Way plane,"Your Kingdom, my life",Vinyl 12in,Three Way plane,"Your Kingdom, my life",Vinyl 12in,downloaded,high,Bandcamp,https://threewayplane.bandcamp.com/album/your-kingdom-my-life,https://f4.bcbits.com/img/a1760099724_0.png,"artwork_inventory_missing_20260704\images\006 - Three Way plane - Your Kingdom, my life [Vinyl 12in] - cover - 2.jpg",image/jpeg,1417,1417,8ad99247dc68e8cf77ccbb3b0c9a94766fac43312e7a84ce5591bf5746353e31,Three Way Plane,"Your Kingdom, My Life",,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
007,Unshaped Ahead,8 Cantons,Vinyl 12in,Unshaped Ahead,8 Cantons,Vinyl 12in,downloaded,high,Bandcamp,https://unshapedahead.bandcamp.com/album/8-cantons,https://f4.bcbits.com/img/a1476589456_0.png,artwork_inventory_missing_20260704\images\007 - Unshaped Ahead - 8 Cantons [Vinyl 12in] - cover - 2.jpg,image/jpeg,3755,3718,72bdbe6a7959da8189eb0159430bbc889d9a73e96ffc8e7ec5f39faeb54ae286,Unshaped_Ahead(Dimos Vryzas),8 Cantons,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
008,Nothing Thrives,Tales of disgrace,Vinyl 12in,Nothing Thrives,Tales of disgrace,Vinyl 12in,downloaded,high,Bandcamp,https://nothingthrives.bandcamp.com/album/tales-of-disgrace,https://f4.bcbits.com/img/a328874131_0.png,artwork_inventory_missing_20260704\images\008 - Nothing Thrives - Tales of disgrace [Vinyl 12in] - cover - 2.jpg,image/jpeg,1400,1400,45fed4757041127c815c2ba1eff56628b6ed2872e4c7c5c29d2c3f60c4d58fc3,Nothing Thrives,Tales of Disgrace,,,,Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs
009,Pirate City,Fortunate Isles,Vinyl 12in,Pirate City,Fortunate Isles,Vinyl 12in,downloaded,medium,Bandcamp,https://piratescity.bandcamp.com/album/fortunate-isles,https://f4.bcbits.com/img/a3866043602_0.png,artwork_inventory_missing_20260704\images\009 - Pirate City - Fortunate Isles [Vinyl 12in] - cover.png,image/png,1400,1402,0e45d1124993260396eba56914b25b8add992ace5934fbaa1132a6aa87878772,Pirates City,Fortunate Isles,,,,Bandcamp album search result
010,Pirate City,Πειρατεία,Vinyl 12in,Pirate City,Πειρατεία,Vinyl 12in,downloaded,medium,Bandcamp,https://piratescity.bandcamp.com/album/--5,https://f4.bcbits.com/img/a1832663477_0.png,artwork_inventory_missing_20260704\images\010 - Pirate City - Πειρατεία [Vinyl 12in] - cover.jpg,image/jpeg,3543,3543,80c04dbde6d1f8a11a6ac7f95b5735c50b2ad917629691a65cb98fbb236b65a5,Pirates City,ΠΕΙΡΑΤΕΙΑ,,,,Bandcamp album search result
011,Pirate City,Λωβή,Vinyl 12in,Pirate City,Λωβή,Vinyl 12in,downloaded,medium,Bandcamp,https://piratescity.bandcamp.com/album/--4,https://f4.bcbits.com/img/a4059385878_0.png,artwork_inventory_missing_20260704\images\011 - Pirate City - Λωβή [Vinyl 12in] - cover.jpg,image/jpeg,3508,2480,5a3daf562d7aa63f261a757c5d60b2f86429c0ed9dc7a3e4c2a172b8f2bbf6de,Pirates City,ΛΩΒΗ,,,,Bandcamp album search result
012,The Vagina lips,Random Tapes,Tape,The Vagina lips,Random Tapes,Tape,missing,none,Known missing,https://www.discogs.com/release/8497993-The-Vagina-Lips-The-Vagina-Lips,,,,,,,,,,,,known missing artwork; Discogs mention has no exposed artwork.
013,Nausea Bomb,Slap punkabilly,CD,Nausea Bomb,Slap punkabilly,CD,downloaded,high,Discogs,https://www.discogs.com/release/36807715-Nausea-Bomb-Lutèce-Punkabilloi,https://i.discogs.com/TsKoLB4dmj3iBwGMobtjMyBlsWIr5aJOQB1aCdEpg6E/rs:fit/g:sm/q:90/h:524/w:599/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM2ODA3/NzE1LTE3NzYwMjE1/MDMtMzQ1My5qcGVn.jpeg,artwork_inventory_missing_20260704\images\013 - Nausea Bomb - Slap punkabilly [CD] - cover.jpg,image/jpeg,599,524,ef3292b464f2702753caae547508111ca5dce7df25b0edc38dce769fa50a4937,Nausea Bomb,Lutèce Punkabill'oi!,Vinyl,,36807715,Requested format CD; matched source format Vinyl; Discogs override URL; verified override
014,Salto Mortale,Ατελές το ον,CD,Salto Mortale,Ατελές το ον,CD,downloaded,high,Manual override,https://www.evart.gr/images/albums/salto-mortale-ateles-to-on-cover.jpg,https://www.evart.gr/images/albums/salto-mortale-ateles-to-on-cover.jpg,artwork_inventory_missing_20260704\images\014 - Salto Mortale - Ατελές το ον [CD] - cover.jpg,image/jpeg,948,948,82d618949368d39ae02273d45fe44077ef10f87e6b86e85d78a02c0fd97de173,,,,,,direct image override; verified override
015,Sun of Nothing,The guilt of feeling alive,CD,Sun of Nothing,The guilt of feeling alive,CD,downloaded,high,Bandcamp,https://sunofnothing.bandcamp.com/album/the-guilt-of-feeling-alive,https://f4.bcbits.com/img/a2991441619_0.png,artwork_inventory_missing_20260704\images\015 - Sun of Nothing - The guilt of feeling alive [CD] - cover.jpg,image/jpeg,500,500,397073d981aaeb20f70dc4202559ca9a647b9d8d108756f44f154dae6be2f4d2,Sun of Nothing,The Guilt of Feeling Alive,,,,"Bandcamp album search result; confidence promoted by independent metadata agreement with Discogs, MusicBrainz/Cover Art Archive"
